Semester,Year,Month,Day,Day_of_Week,Subject,Start Time,End Time,Hours,Calculated_Hours,Hours_Discrepancy,Student_ID,Attended
Fall 2021,2021,8,26,Thursday,MATH-1242,12:00pm,1:00pm,1,1,FALSE,Student_001,TRUE
Fall 2021,2021,8,26,Thursday,MATH-1241,3:00pm,3:30pm,0.5,0.5,FALSE,Student_002,TRUE
Fall 2021,2021,8,28,Saturday,MATH-1241,2:00pm,3:00pm,1,1,FALSE,Student_003,TRUE
Fall 2021,2021,8,28,Saturday,MATH-1242,3:00pm,4:00pm,1,1,FALSE,Student_004,TRUE
Fall 2021,2021,8,28,Saturday,MATH-1242,4:00pm,5:00pm,1,1,FALSE,Student_005,TRUE
Fall 2021,2021,8,28,Saturday,MATH-2171,5:00pm,6:00pm,1,1,FALSE,Student_006,TRUE
Fall 2021,2021,8,31,Tuesday,MATH-1242,11:00am,12:00pm,1.25,1,TRUE,Student_007,TRUE
Fall 2021,2021,8,31,Tuesday,MATH-1241,12:00pm,1:00pm,1,1,FALSE,Student_008,TRUE
Fall 2021,2021,8,31,Tuesday,MATH-2171,1:00pm,2:00pm,1,1,FALSE,Student_009,TRUE
Fall 2021,2021,8,31,Tuesday,MATH-1241,2:00pm,3:00pm,1,1,FALSE,Student_010,TRUE
Fall 2021,2021,8,31,Tuesday,MATH-2171,3:00pm,4:00pm,1,1,FALSE,Student_011,TRUE
Fall 2021,2021,9,2,Thursday,MATH-1241,12:00pm,1:00pm,1,1,FALSE,Student_012,TRUE
Fall 2021,2021,9,2,Thursday,MATH-1241,1:00pm,2:00pm,1,1,FALSE,Student_013,TRUE
Fall 2021,2021,9,4,Saturday,MATH-1242,2:00pm,3:00pm,1,1,FALSE,Student_014,TRUE
Fall 2021,2021,9,4,Saturday,STAT-1220,3:00pm,4:00pm,1,1,FALSE,Student_015,FALSE
Fall 2021,2021,9,4,Saturday,MATH-1242,4:00pm,5:00pm,1,1,FALSE,Student_016,TRUE
Fall 2021,2021,9,4,Saturday,MATH-2171,5:00pm,6:00pm,1,1,FALSE,Student_006,TRUE
Fall 2021,2021,9,7,Tuesday,ECON-3125,12:00pm,1:00pm,1,1,FALSE,Student_017,TRUE
Fall 2021,2021,9,7,Tuesday,MATH-1242,1:00pm,2:00pm,1,1,FALSE,Student_018,TRUE
Fall 2021,2021,9,7,Tuesday,MATH-2171,2:00pm,3:00pm,1,1,FALSE,Student_009,TRUE
Fall 2021,2021,9,7,Tuesday,STAT-1220,3:00pm,4:00pm,1,1,FALSE,Student_019,TRUE
Fall 2021,2021,9,7,Tuesday,MATH-2171,4:00pm,5:00pm,1,1,FALSE,Student_020,TRUE
Fall 2021,2021,9,9,Thursday,STAT-1220,11:00am,12:00pm,1,1,FALSE,Student_021,TRUE
Fall 2021,2021,9,9,Thursday,STAT-1220,12:00pm,1:00pm,1,1,FALSE,Student_022,FALSE
Fall 2021,2021,9,9,Thursday,MATH-1242,1:00pm,2:00pm,1,1,FALSE,Student_018,TRUE
Fall 2021,2021,9,9,Thursday,MATH-2171,4:00pm,5:00pm,1,1,FALSE,Student_023,TRUE
Fall 2021,2021,9,11,Saturday,MATH-2171,2:00pm,3:00pm,1,1,FALSE,Student_024,TRUE
Fall 2021,2021,9,11,Saturday,MATH-2171,3:00pm,4:00pm,1,1,FALSE,Student_006,TRUE
Fall 2021,2021,9,11,Saturday,STAT-1220,4:00pm,5:00pm,1,1,FALSE,Student_025,TRUE
Fall 2021,2021,9,11,Saturday,MATH-1242,5:00pm,6:00pm,1,1,FALSE,Student_026,TRUE
Fall 2021,2021,9,14,Tuesday,MATH-1241,11:00am,12:00pm,1.25,1,TRUE,Student_027,TRUE
Fall 2021,2021,9,14,Tuesday,ECON-3125,12:00pm,1:00pm,1,1,FALSE,Student_017,TRUE
Fall 2021,2021,9,14,Tuesday,MATH-1242,1:00pm,2:00pm,1,1,FALSE,Student_018,TRUE
Fall 2021,2021,9,14,Tuesday,MATH-2171,2:00pm,3:00pm,1,1,FALSE,Student_009,TRUE
Fall 2021,2021,9,14,Tuesday,MATH-2171,4:00pm,5:00pm,1,1,FALSE,Student_028,TRUE
Fall 2021,2021,9,16,Thursday,ECON-3125,12:00pm,1:00pm,1,1,FALSE,Student_017,TRUE
Fall 2021,2021,9,16,Thursday,MATH-1242,1:00pm,2:00pm,1,1,FALSE,Student_018,TRUE
Fall 2021,2021,9,16,Thursday,STAT-1220,2:00pm,3:00pm,1,1,FALSE,Student_029,TRUE
Fall 2021,2021,9,16,Thursday,MATH-2171,4:00pm,5:00pm,1,1,FALSE,Student_030,TRUE
Fall 2021,2021,9,18,Saturday,MATH-1241,4:00pm,5:00pm,0.25,1,TRUE,Student_031,FALSE
Fall 2021,2021,9,18,Saturday,MATH-1242,5:00pm,6:00pm,0.5,1,TRUE,Student_005,TRUE
Fall 2021,2021,9,21,Tuesday,MATH-2241,11:00am,12:00pm,1.5,1,TRUE,Student_032,TRUE
Fall 2021,2021,9,21,Tuesday,ECON-3125,12:00pm,1:00pm,1,1,FALSE,Student_017,TRUE
Fall 2021,2021,9,21,Tuesday,MATH-2171,2:00pm,3:00pm,1,1,FALSE,Student_009,TRUE
Fall 2021,2021,9,21,Tuesday,MATH-1242,4:00pm,5:00pm,0.75,1,TRUE,Student_016,TRUE
Fall 2021,2021,9,25,Saturday,MATH-1241,2:00pm,3:00pm,1,1,FALSE,Student_033,TRUE
